"AQSID","SiteName","Status","EPARegion","Latitude","Longitude","Elevation","GMTOffset","CountryCode","StateName","ValidDate","ValidTime","DataSource","ReportingArea_PipeDelimited","OZONE_AQI","PM10_AQI","PM25_AQI","NO2_AQI","OZONE_Measured","PM10_Measured","PM25_Measured","NO2_Measured","PM25","PM25_Unit","NO2","NO2_Unit","OZONE","OZONE_Unit","PM10","PM10_Unit","CO","CO_Unit","SO2","SO2_Unit"
"530350007","Bremerton-Spruce Ave","Active","R10","47.592675","-122.627397","77.8","-8.0","US","WA","04/18/20","21:00","Washington Department of Ecology","Bremerton-Silverdale-Bainbridge Island","","","10.0","","0","0","1","0","2.0","UG/M3","","","","","","","","","",""
"000102401","Smithers St Josephs","Active","CA","54.7831","-127.1775","481.3","-8.0","CA","CC","04/18/20","21:00","British Columbia Ministry of Environment","","30.0","","2.0","0.0","1","1","1","1","0.5","UG/M3","0.0","PPB","34.0","PPB","","","","","",""
"NRB000043","Spare Unit","Active","","-1.28","36.82","0.0","3.0","","N/A","04/18/20","21:00","Nairobi EPA","","","","","","0","0","0","0","","","","","","","","","","","",""
"NRB000042","Viwandani","Active","","-1.31122","36.87311","0.0","3.0","","N/A","04/18/20","21:00","Nairobi EPA","","","","","","0","0","0","0","","","","","","","","","","","",""
"483951076","Franklin Oak Grove","Active","R6","31.168889","-96.481944","136.9","-6.0","US","TX","04/18/20","21:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"080699991","Rocky Mtn NP Collocated","Active","R3","40.2778","-105.5453","2744.7","-7.0","US","CO","04/18/20","21:00","EPA Office of Atmospheric Programs","","","","","","0","0","0","0","","","","","","","","","","","",""
"311651001","Agate Fossil Beds NM","Inactive","USEPA","42.428299","-103.729401","1344.7","-6.0","US","NE","04/18/20","21:00","National Park Service","","","","","","1","0","0","0","","","","","","","","","","","",""
"NRB000045","St Scholastica Catholic School","Active","","-1.253111","36.85653","0.0","3.0","","N/A","04/18/20","21:00","Nairobi EPA","","","","","","0","1","1","0","","","","","","","","","","","",""
"410650008","The Dalles Wasco Library","Inactive","R10","45.598384","-121.184229","0.0","-8.0","US","OR","04/18/20","21:00","Oregon Dept. of Environmental Quality","","","","","","0","0","1","0","","","","","","","","","","","",""
"370870008","WNVLELSC","Active","R4","35.507224","-82.963625","791.8","-5.0","US","NC","04/18/20","21:00","North Carolina DEQ - Division of Air Quality","Haywood County","41.0","","","","1","0","0","0","","","","","46.0","PPB","","","","","",""
"530639995","Colbert-Greenbluff","Active","R10","47.808226","-117.34327","577.4","-8.0","US","WA","04/18/20","21:00","Washington Department of Ecology","Spokane","","","25.0","","0","0","1","0","4.4","UG/M3","","","","","","","","","",""
"410650007","The Dalles - Cherry Heights","Active","R10","45.602419","-121.203387","86.3","-8.0","US","OR","04/18/20","21:00","Oregon Dept. of Environmental Quality","The Dalles","","","14.0","","0","0","1","0","3.2","UG/M3","","","","","","","","","",""
"530639997","Spokane-E Broadway Ave (US)","Active","R10","47.663963","-117.257652","611.2","-8.0","US","WA","04/18/20","21:00","Washington Department of Ecology","Spokane","","","20.0","","0","0","1","0","5.0","UG/M3","","","","","","","","","",""
"191138040","PUBLIC HEALTH 4","Inactive","R7","41.97677","-91.68766","0.0","-6.0","US","IA","04/18/20","21:00","Linn Co. Public Health ","","","","","","0","0","1","0","","","","","","","","","","","",""
"530639996","Liberty Lake-E Valeyway (US)","Inactive","R10","47.660568","-117.084503","650.3","-8.0","US","WA","04/18/20","21:00","Washington Department of Ecology","Spokane","","","","","0","0","1","0","","","","","","","","","","","",""
"560330002","Sheridan PD","Active","R8","44.815142","-106.955933","1192.6","-7.0","US","WY","04/18/20","21:00","Wyoming Department of Environmental Quality","Sheridan","","13.0","","","0","1","0","0","","","","","","","20.0","UG/M3","","","",""
"550630012","LACROSSE DOT","Active","R5","43.7781","-91.225","209.8","-6.0","US","WI","04/18/20","21:00","Wisconsin Dept. of Natural Resources","Winona|La Crosse","43.0","","37.0","","1","0","1","0","8.8","UG/M3","","","48.0","PPB","","","","","",""
"120350004","Flagler County","Active","R4","29.489082","-81.276833","0.0","-5.0","US","FL","04/18/20","21:00","Florida Dept. of Environmental Protection","Daytona Beach","26.0","","","","1","0","0","0","","","","","32.0","PPB","","","","","",""
"560330004","Sheridan","Active","R8","44.933998","-106.847198","1136.1","-7.0","US","WY","04/18/20","21:00","Bureau of Land Management - Wyoming","Sheridan","","","","","1","0","1","0","","","","","","","","","","","",""
"240050009","Baltimore County Near Road","Active","R3","39.371679","-76.746814","132.7","-5.0","US","MD","04/18/20","21:00","Maryland Department of the Environment","","","","","3.0","0","0","0","1","","","4.0","PPB","","","","","","","",""
